id,parent_id,is_periodic_copy,shift_x_um,shift_y_um,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
21,18,False,0.0,0.0,86.44226135187995,18.346437937824156,3.5868992385627174,7.173798477125435,0.08644226135187995,0.018346437937824155,0.0035868992385627175,0.007173798477125435
22,19,False,0.0,0.0,40.7799561520982,6.707219621794086,3.479318477287173,6.958636954574346,0.0407799561520982,0.006707219621794086,0.0034793184772871732,0.0069586369545743465
23,20,False,0.0,0.0,1.763967357653135,89.46433374011946,3.2821534511552395,6.564306902310479,0.001763967357653135,0.08946433374011946,0.0032821534511552394,0.006564306902310479
24,20,True,100.0,0.0,101.76396735765313,89.46433374011946,3.2821534511552395,6.564306902310479,0.10176396735765313,0.08946433374011946,0.0032821534511552394,0.006564306902310479
25,21,False,0.0,0.0,26.71932789137818,39.13882910803171,3.424351322938137,6.848702645876274,0.02671932789137818,0.03913882910803171,0.0034243513229381367,0.006848702645876273
26,22,False,0.0,0.0,78.9986939161081,80.36736959618413,3.6040745244390258,7.2081490488780515,0.0789986939161081,0.08036736959618414,0.0036040745244390257,0.007208149048878051
27,23,False,0.0,0.0,45.85995575488025,72.29285445519862,3.4631831806248004,6.926366361249601,0.04585995575488025,0.07229285445519862,0.0034631831806248,0.0069263663612496
28,24,False,0.0,0.0,93.48006330407748,3.400317447025503,3.476425849577543,6.952851699155086,0.09348006330407747,0.003400317447025503,0.003476425849577543,0.006952851699155086
29,24,True,0.0,100.0,93.48006330407748,103.4003174470255,3.476425849577543,6.952851699155086,0.09348006330407747,0.1034003174470255,0.003476425849577543,0.006952851699155086
30,25,False,0.0,0.0,83.7427519342047,25.540011771658953,3.601731105565141,7.203462211130282,0.0837427519342047,0.025540011771658953,0.003601731105565141,0.007203462211130282
31,26,False,0.0,0.0,21.003434086038364,11.787983622552163,3.7892007333290967,7.578401466658193,0.021003434086038365,0.011787983622552163,0.0037892007333290966,0.007578401466658193
32,27,False,0.0,0.0,0.7437761909786298,14.207742311067953,3.3869595955088765,6.773919191017753,0.0007437761909786297,0.014207742311067953,0.0033869595955088763,0.006773919191017753
33,27,True,100.0,0.0,100.74377619097864,14.207742311067953,3.3869595955088765,6.773919191017753,0.10074377619097864,0.014207742311067953,0.0033869595955088763,0.006773919191017753
34,28,False,0.0,0.0,99.00311380095691,59.700844825442346,3.7136907799293044,7.427381559858609,0.09900311380095692,0.05970084482544234,0.0037136907799293043,0.0074273815598586085
35,28,True,-100.0,0.0,-0.9968861990430895,59.700844825442346,3.7136907799293044,7.427381559858609,-0.0009968861990430895,0.05970084482544234,0.0037136907799293043,0.0074273815598586085
36,29,False,0.0,0.0,20.378846379232872,89.0855707459586,3.3050429751086323,6.610085950217265,0.020378846379232873,0.0890855707459586,0.0033050429751086325,0.006610085950217265
37,30,False,0.0,0.0,60.758804910215765,63.52958103373611,3.5277339532043492,7.0554679064086985,0.06075880491021576,0.06352958103373611,0.003527733953204349,0.007055467906408698
38,31,False,0.0,0.0,6.760360455105167,95.17750827220438,3.314629571157287,6.629259142314574,0.006760360455105167,0.09517750827220438,0.0033146295711572868,0.0066292591423145735
39,32,False,0.0,0.0,56.03576607704188,21.1122130627219,3.7142061222439136,7.428412244487827,0.05603576607704188,0.0211122130627219,0.0037142061222439136,0.007428412244487827
40,33,False,0.0,0.0,31.754895613303262,63.13331526216772,3.632176794979843,7.264353589959686,0.03175489561330326,0.06313331526216771,0.0036321767949798432,0.0072643535899596864
41,34,False,0.0,0.0,94.37009271262278,89.13552090406476,3.6803281103678285,7.360656220735657,0.09437009271262278,0.08913552090406476,0.0036803281103678287,0.007360656220735657
42,35,False,0.0,0.0,20.89163008300335,77.21951909267425,3.359642995002954,6.719285990005908,0.02089163008300335,0.07721951909267424,0.0033596429950029537,0.006719285990005907
43,36,False,0.0,0.0,66.5400408603207,49.431168545658274,3.6085019715393307,7.217003943078661,0.0665400408603207,0.04943116854565827,0.003608501971539331,0.007217003943078662
44,37,False,0.0,0.0,20.105906492924753,41.90775677668515,3.4177363872220248,6.8354727744440495,0.020105906492924753,0.041907756776685144,0.0034177363872220246,0.006835472774444049
45,38,False,0.0,0.0,31.730787708067872,44.246590399082294,3.427504428182417,6.855008856364834,0.03173078770806787,0.04424659039908229,0.003427504428182417,0.006855008856364834
46,39,False,0.0,0.0,73.53722679260669,74.16975191752897,3.580286127084699,7.160572254169398,0.07353722679260669,0.07416975191752898,0.003580286127084699,0.007160572254169398
47,40,False,0.0,0.0,49.3032550180701,87.87651974883867,3.63895983033629,7.27791966067258,0.0493032550180701,0.08787651974883867,0.00363895983033629,0.00727791966067258
48,41,False,0.0,0.0,77.67986557357001,39.70458982496622,3.532400604141752,7.064801208283504,0.07767986557357001,0.03970458982496622,0.003532400604141752,0.007064801208283504
49,42,False,0.0,0.0,29.99705346931051,14.883686012532866,3.40046404448982,6.80092808897964,0.02999705346931051,0.014883686012532866,0.00340046404448982,0.00680092808897964
50,43,False,0.0,0.0,62.489412221828346,34.792778358508606,3.369108081440043,6.738216162880086,0.06248941222182835,0.03479277835850861,0.003369108081440043,0.006738216162880086
51,44,False,0.0,0.0,40.24629469791117,98.96425627958914,3.7289242485932994,7.457848497186599,0.04024629469791117,0.09896425627958913,0.0037289242485932994,0.007457848497186599
52,44,True,0.0,-100.0,40.24629469791117,-1.0357437204108635,3.7289242485932994,7.457848497186599,0.04024629469791117,-0.0010357437204108636,0.0037289242485932994,0.007457848497186599
53,45,False,0.0,0.0,81.25042877248197,72.60078295570314,3.594140426847899,7.188280853695798,0.08125042877248197,0.07260078295570314,0.003594140426847899,0.007188280853695798
54,46,False,0.0,0.0,85.35091089811326,39.39484095686722,3.6140768779239,7.2281537558478,0.08535091089811325,0.03939484095686722,0.0036140768779239,0.0072281537558478
